country,name,web,emails,status
chile,"Porta",https://porta.cl,"usuario@dominio.com",200
chile,"McCann Santiago",https://mccann.cl,"",200
chile,"BBDO Chile",https://bbdo.cl,"",error
chile,"Ogilvy Chile",https://ogilvy.cl,"",error
chile,"DDB Chile",https://ddb.cl,"",error
chile,"Grey Chile",https://grey.cl,"ventas@blobel.cl;VENTAS@BLOBEL.CL;micuenta@midominio.cl;paulblobel@gmail.com;paul@blobel.cl;phbh17@gmail.com;gmella@blobel.cl;mella.h.gustavo@gmail.com;prueba12@gmail.com;prueba13@gmail.com;prueba14@gmail.com;prueba15@gmail.com;lonomaster@gmail.com;czamos@gmail.com;carlos.zamorano@connectic.cl;ventasweb@blobel.cl",200
chile,"Publicis Chile",https://publicis.cl,"",404
chile,"Wunderman Thompson Chile",https://wundermanthompson.cl,"",error
chile,"Havas Chile",https://havas.cl,"",200
chile,"Leo Burnett Chile",https://leoburnett.cl,"",404
chile,"JWT Chile",https://jwt.cl,"",error
chile,"Lowe Chile",https://lowessp.cl,"",error
chile,"Prolam Y&R",https://prolam.cl,"",error
chile,"Inbrax",https://inbrax.com,"",200
chile,"Jelly",https://jelly.cl,"contacto@jelly.cl",200
chile,"Xtreme Marketing",https://xtrememarketing.cl,"",error
chile,"IDA Chile",https://ida.cl,"tuemail@mail.com",200
chile,"Webketing",https://webketing.cl,"",error
chile,"Factor Digital",https://factordigital.cl,"usuario@dominio.com",200
chile,"Staff Creativa Chile",https://staffcreativa.cl,"",error
chile,"Marketmedios",https://marketmedios.cl,"",error
chile,"Rompecabeza Digital",https://rompecabeza.cl,"",200
chile,"Clever Digital",https://cleverdigital.cl,"contacto@cleverdigital.cl",200
chile,"Tu Hosting Chile",https://tuhosting.cl,"",error
chile,"Creato",https://creato.cl,"contacto@creato.cl",200
chile,"Agencia Rut",https://agenciarut.cl,"",error
chile,"Notable",https://notable.cl,"",200
chile,"Venditori",https://venditori.cl,"",error
chile,"Mentalidad Web",https://mentalidadweb.com,"contacto@mentalidadweb.com",200
chile,"Forma Comunicaciones",https://formacomunicaciones.cl,"",error
chile,"I3net",https://i3net.cl,"",error
chile,"La Cocina Marketing",https://lacocinamarketing.cl,"",error
chile,"Inbound Chile",https://inbound.cl,"",200
chile,"Digital Heads",https://digitalheads.cl,"contacto@digitalheads.cl",200
chile,"Cebra",https://cebra.cl,"",403
chile,"Niu Marketing",https://niumarketing.cl,"",error
chile,"ROI Agency",https://roiagency.cl,"",error
